x y
-3.8995 -3.8888
-3.8853 -3.8085
-3.7868 -3.7758
-3.7590 -3.5551
-3.5028 -3.4933
-3.4721 -3.4373
-3.3505 -3.3382
-3.3205 -3.2573
-3.2422 -3.2067
-3.1360 -3.1292
-3.1226 -3.0554
-3.0400 -2.9925
-2.8910 -2.8344
-2.7744 -2.7279
-2.6968 -2.6553
-2.5707 -2.4907
-2.4505 -2.3904
-2.3336 -2.3064
-2.2993 -2.2721
-2.1978 -2.1844
-2.1009 -2.0539
-2.0504 -2.0246
-2.0150 -1.9243
-1.9105 -1.8357
-1.8035 -1.7519
-1.7455 -1.6536
-1.6092 -1.5630
-1.5196 -1.4883
-1.4817 -1.4524
-1.4420 -1.3833
-1.3353 -1.1913
-1.1535 -1.1486
-1.0892 -0.9968
-0.9812 -0.9750
-0.9234 -0.9088
-0.9032 -0.8940
-0.8746 -0.8643
-0.8430 -0.8196
-0.7874 -0.7294
-0.6852 -0.6564
-0.6198 -0.6135
-0.4053 -0.3195
-0.3136 -0.2638
-0.2539 -0.2395
-0.2097 -0.1330
-0.0884 0.0801
0.1292 0.1353
0.1661 0.2125
0.2680 0.2697
0.2795 0.3496
0.3513 0.3560
0.3642 0.4019
0.4157 0.4361
0.4593 0.5337
0.5372 0.5857
0.6513 0.7144
0.7344 0.8537
0.8782 1.0181
1.0626 1.0681
1.0820 1.1239
1.1270 1.1755
1.1910 1.1941
1.1972 1.2538
1.2577 1.3251
1.3380 1.3528
1.3581 1.4161
1.4382 1.4544
1.4741 1.4904
1.5257 1.5292
1.5812 1.6680
1.6942 1.6998
1.8337 1.8578
1.8891 1.9684
1.9727 1.9883
2.0207 2.0280
2.0575 2.1150
2.1326 2.1646
2.2015 2.2375
2.2593 2.3214
2.3745 2.4288
2.4788 2.4909
2.5520 2.5610
2.6518 2.6618
2.6624 2.6696
2.6856 2.7197
2.7249 2.8070
2.8139 2.8338
2.8369 2.8470
2.8524 2.8796
2.8806 2.9740
2.9806 2.9995
3.0014 3.0385
3.0404 3.0564
3.1092 3.1912
3.2571 3.3938
3.4506 3.4986
3.5439 3.6586
3.7580 3.8502
3.8576 3.8649
3.8755 3.8869
5.4519 5.5444
5.0313 5.5762
5.3216 5.4529
5.2957 6.2872
6.2859 6.1399
6.5359 6.7711
6.7523 7.2403
7.0472 7.4221
7.4152 7.5818
7.6960 7.7173
7.8845 7.8830
7.7646 8.1781
8.0582 8.5334
8.2287 8.5287
8.4724 8.2730
8.0837 7.8586
8.1205 8.2334
7.8953 8.0040
7.8366 8.2252
8.1477 7.9813
7.8501 7.7887
7.5579 8.0962
7.9731 7.3294
7.8434 7.6263
7.0685 7.6758
7.4727 7.4154
7.7525 7.9153
7.7421 7.5036
8.0018 7.7754
8.0198 7.8451
7.7632 7.8441
8.2784 8.2729
8.3574 8.5554
8.7016 8.8943
8.5695 8.9527
9.1323 8.4681
8.9009 8.4926
8.8482 9.0196
8.9822 8.9054
9.1485 8.8446
9.2030 9.2665
9.0137 8.8086
8.8815 8.7398
8.6006 8.8214
8.7277 9.0799
8.3734 7.7671
7.7452 7.6476
7.3928 7.2203
7.1772 6.8919
6.9164 6.4736
6.7585 6.8542
6.8998 6.7422
6.3833 6.4377
6.7106 6.1977
6.5928 5.9024
6.1408 5.8232
5.9996 5.7668
5.8860 5.5885
5.6542 5.3796
5.7749 5.8960
5.8296 6.0782
5.9318 5.8890
5.6678 5.9961
6.4804 5.8146
5.9766 5.9534
6.1532 6.0995
6.2586 6.5903
6.1977 6.3782
6.2246 6.1166
6.0795 6.0805
6.2486 6.0674
6.1170 6.1975
5.8971 5.6284
5.4962 6.0392
5.5284 5.8195
5.3808 5.4763
5.3906 5.2018
5.3334 5.2337
5.3711 4.7606
4.6156 4.3152
4.2938 4.1903
3.6793 3.9771
3.3359 3.6140
3.1040 3.3866
3.4792 3.3740
3.4196 3.0099
2.4775 2.9462
2.8135 2.8321
3.3331 3.1101
2.7643 2.6603
2.5133 2.7608
2.9595 2.5417
2.5747 2.7005
2.7805 2.1643
2.8162 2.6448
2.5635 2.6597
2.6756 2.8973
3.1112 3.2994
2.9965 3.4228
2.9259 3.1628
